SNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
17851,240106,Self-Financed Merit Seat,"Institute of Medical Sciences & SUM Hospital, Campus-II, Phulnakhara Bhubaneswar, Odhisha,At-Nakhara, Po-Phulnakhara, Bhubaneswar, Khordha",MBBS,Open,General,Allotted
17852,240140,Self-Financed Merit Seat,"Institute of Medical Sciences & SUM Hospital, Campus-II, Phulnakhara Bhubaneswar, Odhisha,At-Nakhara, Po-Phulnakhara, Bhubaneswar, Khordha",MBBS,Open,General,Allotted
17853,240145,Self-Financed Merit Seat,"Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5 KUSHABHADRA CAMPUS P.O-KIIT BHUBANESWAR",MBBS,Open,General,Allotted
17854,240196,Self-Financed Merit Seat,"Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5 KUSHABHADRA CAMPUS P.O-KIIT BHUBANESWAR",MBBS,Open,General,Allotted
17855,240225,Self-Financed Merit Seat,"Santosh Dental College and Hospital, Ghaziabad,No.1, Santosh Nagar, Ghaziabad, Delhi NCR",BDS,Open,General,Allotted
17856,240229,Self-Financed Merit Seat,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College JGMMMC,KLE Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College Gabbur Cross Hubballi",MBBS,Open,General,Allotted
17857,240337,All India,"Central Armed Police Forces Institute of Medical Sciences Maidangarhi (AIIMS CAPFIMS) Asola Delhi,AIIMS-CAPFIMS, Asola, Maidan Garhi, New Delhi",MBBS,Open PwD,General PwD,Allotted
17858,240357,Self-Financed Merit Seat,"Amrita School of Dentistry, Kochi,Amrita School of Dentistry, Amrita Institute of Medical Sciences (AIMS), AIMS Ponekkara P.O, Kochi",BDS,Open,OBC,Allotted
17859,240367,Self-Financed Merit Seat,"Mahatma Gandhi Missions Medical College, Navi Mumbai,MGM Medical College, Plot No. 1-2, Sector 1, Kamothe, Navi Mumbai - 410 209",MBBS,Open,General,Allotted
17860,240373,Self-Financed Merit Seat,"Sri Ramachandra Dental and Hospt., Chennai,No. 1 Ramachandra Nagar, Porur, Chennai., Tamil Nadu, 600116",BDS,Open,General,Allotted
17861,240405,Self-Financed Merit Seat,"Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5 KUSHABHADRA CAMPUS P.O-KIIT BHUBANESWAR",MBBS,Open,SC,Allotted
17862,240428,Self-Financed Merit Seat,"Manipal College of Dental Sce., Manipal,Madhav Nagar, Manipal India",BDS,Open,OBC,Allotted
17863,240441,Self-Financed Merit Seat,"Institute of Dental Sciences, Bhubaneswar,K8, Kalinga Nagar, PO-Mahalaxmi Vihar, Bhubaneswar",BDS,Open,General,Allotted
17864,240469,Employees State Insurance Scheme(ESI),"Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad,Sanathnagar, Hyderabad",MBBS,ST,ST,Allotted
17865,240470,Self-Financed Merit Seat,"Manipal College of Dental Sce., Manipal,Madhav Nagar, Manipal India",BDS,Open,General,Allotted
17866,240472,Self-Financed Merit Seat,"Sri Ramachandra Medical College & Research Institute, Chennai,No. One Ramachandra Nagar, Porur, Chennai.",MBBS,Open,General,Allotted
17867,240526,Self-Financed Merit Seat,"Dr. D Y Patil Medical College, Hospital and Research Centre, Pimpri, Pune,Dr. D. Y. Patil Medical College, Hospital and Research Centre, Sant Tukaram Nagar, Pimpri, Pune.",MBBS,Open,General,Allotted
17868,240580,Self-Financed Merit Seat,"Sri Devaraj URS Medical College, Kolar,Post box No.7, SRI DEVARAJ URS MEDICAL COLLEGE, TAMAKA, KOLAR",MBBS,Open,General,Allotted
17869,240586,Self-Financed Merit Seat,"Amrita School of Medicine, Elamkara, Kochi,Amrita School of Medicine, Amrita Institute of Medical Sciences AIMS Ponekkara P.O Kochi 682041",MBBS,Open,General,Allotted
17870,240592,Self-Financed Merit Seat,"Meenakshi Ammal Dental College and Host., Chennai1,ALAPAKKAM MAIN ROAD MADURAVOYAL CHENNAI",BDS,Open,OBC,Allotted
17871,240605,Self-Financed Merit Seat,"Mahatma Gandhi Missions Medical College, Aurangabad,N-6, Cidco, Chhatrapati Sambhajinagar -Aurangabad",MBBS,Open,OBC,Allotted
17872,240631,Self-Financed Merit Seat,"Shri B M Patil Medical College, Hospital & Research Centre, Vijayapura (Bijapur,SMT BANGARAMMA SAJJAN CAMPUS B M PATIL ROAD (SOLAPUR ROAD) VIJAYAPURA KARNATAKA",MBBS,Open,OBC,Allotted
17873,240637,Self-Financed Merit Seat,"Padmashree Dr. DY. Patil Medical College, Navi Mumbai,Sector 5, Nerul, Navi Mumbai,",MBBS,Open,General,Allotted
17874,240650,Self-Financed Merit Seat,"Sri Devaraj URS Medical College, Kolar,Post box No.7, SRI DEVARAJ URS MEDICAL COLLEGE, TAMAKA, KOLAR",MBBS,Open,General,Allotted
17875,240652,Self-Financed Merit Seat,"Mallareddy Medical College for Women, Hyderabad,Suraram X Roads Jeedimetla Hyderabad (Female Seat only )",MBBS,Open,General,Allotted
